id,name,lat,long,agency_id,agency_name
1,San Francisco,,,1,Caltrain
2,22nd St,,,1,Caltrain
3,Bayshore,,,1,Caltrain
4,So. San Francisco,,,1,Caltrain
5,San Bruno,,,1,Caltrain
6,Millbrae,,,1,Caltrain
7,Broadway,,,1,Caltrain
8,Burlingame,,,1,Caltrain
9,San Mateo,,,1,Caltrain
10,Hayward Park,,,1,Caltrain
11,Hillsdale,,,1,Caltrain
12,Belmont,,,1,Caltrain
13,San Carlos,,,1,Caltrain
14,Redwood City,,,1,Caltrain
15,Atherton,,,1,Caltrain
16,Menlo Park,,,1,Caltrain
17,Palo Alto,,,1,Caltrain
18,California Ave,,,1,Caltrain
19,San Antonio,,,1,Caltrain
20,Mt View,,,1,Caltrain
21,Sunnyvale,,,1,Caltrain
22,Lawrence,,,1,Caltrain
23,Santa Clara,,,1,Caltrain
24,College Park,,,1,Caltrain
25,San Jose Diridon,,,1,Caltrain
26,Tamien,,,1,Caltrain
27,Capitol,,,1,Caltrain
28,Blossom Hill,,,1,Caltrain
29,Morgan Hill,,,1,Caltrain
30,San Martin,,,1,Caltrain
31,Gilroy,,,1,Caltrain
32,San Jose Station,,,1,Caltrain
33,Tamien Station,,,1,Caltrain
