id,station_id,train_id,departure_time,departure_time_offset,station_name,train_number
1,23,1,4:28:00 AM,8:28:00 PM,San Jose Diridon,101
2,21,1,4:33:00 AM,8:33:00 PM,Santa Clara,101
3,20,1,4:39:00 AM,8:39:00 PM,Lawrence,101
4,19,1,4:43:00 AM,8:43:00 PM,Sunnyvale,101
5,18,1,4:48:00 AM,8:48:00 PM,Mountain View,101
6,17,1,4:52:00 AM,8:52:00 PM,San Antonio,101
7,16,1,4:57:00 AM,8:57:00 PM,California Ave,101
8,15,1,5:01:00 AM,9:01:00 PM,Palo Alto,101
9,14,1,5:04:00 AM,9:04:00 PM,Menlo Park,101
10,13,1,5:10:00 AM,9:10:00 PM,Redwood City,101
11,12,1,5:15:00 AM,9:15:00 PM,San Carlos,101
12,11,1,5:18:00 AM,9:18:00 PM,Belmont,101
13,10,1,5:22:00 AM,9:22:00 PM,Hillsdale,101
14,9,1,5:25:00 AM,9:25:00 PM,Hayward Park,101
15,8,1,5:28:00 AM,9:28:00 PM,San Mateo,101
16,7,1,5:32:00 AM,9:32:00 PM,Burlingame,101
17,6,1,5:36:00 AM,9:36:00 PM,Millbrae,101
18,5,1,5:41:00 AM,9:41:00 PM,San Bruno,101
19,4,1,5:45:00 AM,9:45:00 PM,So. San Francisco,101
20,3,1,5:51:00 AM,9:51:00 PM,Bayshore,101
21,2,1,5:57:00 AM,9:57:00 PM,22nd Street,101
22,1,1,6:03:00 AM,10:03:00 PM,San Francisco,101
23,24,2,4:55:00 AM,8:55:00 PM,Tamien,103
24,23,2,5:03:00 AM,9:03:00 PM,San Jose Diridon,103
25,21,2,5:08:00 AM,9:08:00 PM,Santa Clara,103
26,20,2,5:13:00 AM,9:13:00 PM,Lawrence,103
27,19,2,5:18:00 AM,9:18:00 PM,Sunnyvale,103
28,18,2,5:23:00 AM,9:23:00 PM,Mountain View,103
29,17,2,5:27:00 AM,9:27:00 PM,San Antonio,103
30,16,2,5:31:00 AM,9:31:00 PM,California Ave,103
31,15,2,5:36:00 AM,9:36:00 PM,Palo Alto,103
32,14,2,5:39:00 AM,9:39:00 PM,Menlo Park,103
33,13,2,5:44:00 AM,9:44:00 PM,Redwood City,103
34,12,2,5:49:00 AM,9:49:00 PM,San Carlos,103
35,11,2,5:52:00 AM,9:52:00 PM,Belmont,103
36,10,2,5:56:00 AM,9:56:00 PM,Hillsdale,103
37,9,2,5:59:00 AM,9:59:00 PM,Hayward Park,103
38,8,2,6:03:00 AM,10:03:00 PM,San Mateo,103
