id,train_number,direction,service_type
1,101,in,local
2,103,in,local
3,305,in,express
4,207,in,limited
5,309,in,express
6,211,in,limited
7,313,in,express
8,215,in,limited
9,217,in,limited
10,319,in,express
11,221,in,
12,323,in,
13,225,in,
14,227,in,
15,329,in,
16,231,in,
17,233,in,
18,135,in,
19,237,in,
20,139,in,
21,143,in,
22,147,in,
23,151,in,
24,155,in,
25,257,in,
26,159,in,
27,261,in,
28,263,in,
29,365,in,
30,267,in,
31,269,in,
32,371,in,
33,273,in,
34,375,in,
35,277,in,
36,279,in,
37,381,in,
38,283,in,
39,385,in,
40,287,in,
41,289,in,
42,191,in,
43,193,in,
44,195,in,
45,197,in,
46,199,in,
47,102,out,
48,104,out,
49,206,out,
50,208,out,
51,310,out,
52,212,out,
53,314,out,
54,216,out,
55,218,out,
56,320,out,
57,222,out,
58,324,out,
59,226,out,
60,228,out,
61,330,out,
62,232,out,
63,134,out,
64,236,out,
65,138,out,
66,142,out,
67,146,out,
68,150,out,
69,152,out,
70,254,out,
71,156,out,
72,258,out,
73,360,out,
74,262,out,
75,264,out,
76,366,out,
77,268,out,
78,370,out,
79,272,out,
80,274,out,
81,376,out,
82,278,out,
83,380,out,
84,282,out,
85,284,out,
86,386,out,
87,288,out,
88,190,out,
89,192,out,
90,194,out,
91,196,out,
92,198,out,
